Name,City,RatingStars,OpeningTime
Paramount Lebanese Kitchen,London,6.0,2020-11-08T11:30:00
113 Karaoke Restaurant  & Bar,London,6.0,2020-11-08T17:00:00
itsu - Cowcross Street 9,London,6.0,2020-11-09T11:00:00
Olle Korean Barbecue.,London,6.0,2020-11-08T12:00:00
Arancini Brothers Old Street,London,6.0,2020-11-09T11:00:00
Bisou Cafe Diner,London,6.0,2020-11-08T07:00:00
Tajrish Restaurant,London,6.0,2020-11-08T12:00:00
Tapioc Wraps,London,6.0,2020-11-08T10:00:00
Layalina,London,6.0,2020-11-08T12:00:00
Tzatziki @ Stag's Head Public House,London,6.0,0001-01-01T00:00:00
Prince Arthur,London,6.0,2020-11-11T17:00:00
Misato,London,6.0,2020-11-08T12:00:00
Flocafe Espresso Room,London,6.0,2020-11-08T07:00:00
Auntie Anne's Coventry Street,London,6.0,2020-11-08T11:00:00
Patogh,London,6.0,2020-11-08T11:30:00
Alexander The Great,London,6.0,2020-11-08T12:00:00
Music & Beans,London,6.0,2020-11-08T10:30:00
Panda Chinese Restaurant,London,6.0,2020-11-08T11:30:00
The King of Falafel,London,6.0,2020-11-08T11:00:00
Mama's Cafe,London,6.0,2020-11-09T08:00:00
Double J'S Cafe,London,6.0,2020-11-09T07:00:00
Roti World UK,London,6.0,2020-11-08T12:00:00
Zabardast - Clerkenwell,London,6.0,2020-11-08T11:00:00
Amorino - Covent Garden,London,6.0,2020-11-08T11:00:00
Old Tree Daiwan Bee,London,6.0,2020-11-08T12:00:00
La Casetta Cafe,London,6.0,2020-11-08T08:00:00
The Grubberie,London,6.0,2020-11-09T08:00:00
The Shell,London,6.0,2020-11-08T12:00:00
Broski Lounge,London,6.0,2020-11-08T12:00:00
Giraffe Stop - Kings X,London,6.0,2020-11-08T09:00:00
Made In Brasil,London,6.0,2020-11-08T12:00:00
Seafood Parlour,London,6.0,2020-11-08T15:00:00
Boulevard - BLVD,London,6.0,2020-11-08T11:00:00
Walkmisù,London,6.0,2020-11-08T09:00:00
The Green Man - Edgware Rd,London,6.0,2020-11-08T12:00:00
Dumplings NOW - Soho,London,6.0,2020-11-08T12:00:00
PRTZL,London,6.0,2020-11-08T12:00:00
L'Angolo Bianco,London,6.0,2020-11-09T10:00:00
Bagelicious,London,6.0,2020-11-09T09:00:00
Wok to Walk - Leicester Square,London,6.0,2020-11-08T11:00:00
Sunshine Hummus & Falafel,London,6.0,2020-11-08T11:00:00
Chicken Palace,London,5.95,2020-11-08T12:00:00
The Seashell Of Lisson Grove,London,5.92,2020-11-08T12:00:00
Hippy Fish Poké,London,5.89,2020-11-08T11:00:00
Noura Deli,London,5.89,2020-11-08T10:00:00
Pasta Espressa,London,5.89,2020-11-09T08:00:00
El Camion,London,5.84,2020-11-10T13:30:00
Flocafe Espresso Room,London,5.84,2020-11-08T10:00:00
Mingzi,London,5.84,2020-11-09T07:00:00
The Fruit Tree,London,5.83,2020-11-08T07:30:00
Arancini Brothers Kentish Town,London,5.8,2020-11-08T09:30:00
Beck’s,London,5.75,2020-11-08T10:30:00
Babylon Tower Grill & Restaurant,London,5.73,2020-11-09T14:00:00
The Four Lanterns,London,5.73,2020-11-09T12:00:00
Terry's Cafe,London,5.72,2020-11-09T08:00:00
ANOSH,London,5.69,2020-11-08T11:00:00
Cafe Ishaq,London,5.69,2020-11-08T17:30:00
itsu - Regents Place,London,5.67,2020-11-09T11:00:00
Lord Wargrave,London,5.67,2020-11-08T12:00:00
Island Poké - Victoria,London,5.67,2020-11-08T12:00:00
Gigs Fish & Chips,London,5.67,2020-11-09T11:00:00
Banana Tree - Islington,London,5.67,2020-11-08T12:30:00
Diwan,London,5.67,2020-11-08T12:00:00
Honi Poke - Margaret Street,London,5.67,2020-11-08T11:00:00
Tommi's Burger Joint - Marylebone,London,5.67,2020-11-08T11:00:00
Ben's Cookies - Brunswick Centre,London,5.67,2020-11-08T11:00:00
Shawarma Bros,London,5.67,2020-11-08T12:00:00
Veggie Pret - Broadway (Twin Tothill),London,5.67,2020-11-09T08:00:00
Paolina Thai,London,5.67,2020-11-09T12:30:00
YO! - Southbank Centre Festival Hall,London,5.67,0001-01-01T00:00:00
North Sea Fish Restaurant,London,5.67,2020-11-12T17:00:00
Al Arez Express,London,5.67,2020-11-08T11:00:00
Kua 'Aina,London,5.67,2020-11-08T12:00:00
Pham Sushi - Whitecross,London,5.67,2020-11-09T12:00:00
Freej Swaileh,London,5.67,2020-11-08T13:00:00
Dijla,London,5.67,2020-11-08T11:00:00
Pret a Manger - Russell Square,London,5.64,2020-11-08T07:30:00
Pakora Night,London,5.63,2020-11-08T17:30:00
K10 Sushi Fetter Lane,London,5.62,2020-11-09T11:15:00
Master Wei Xian Cuisine,London,5.61,2020-11-08T11:30:00
Apulia,London,5.61,2020-11-08T12:00:00
El Inca Plebeyo,London,5.6,2020-11-08T12:00:00
The Best Kebab,London,5.6,2020-11-09T13:00:00
Cafe Zilly,London,5.58,2020-11-09T07:00:00
Great Nepalese,London,5.58,2020-11-09T17:00:00
BrewDog Burger - Clerkenwell,London,5.56,2020-11-09T12:00:00
Liman Restaurant,London,5.56,2020-11-08T12:00:00
Lena's Cafe,London,5.56,2020-11-09T11:00:00
Chicken Valley,London,5.56,2020-11-08T12:00:00
Lucky Tea,London,5.54,2020-11-08T11:30:00
Bento Bab,London,5.54,2020-11-09T12:00:00
Pret a Manger - Warren Street,London,5.54,2020-11-08T09:15:00
TIA ROSA,London,5.54,2020-11-09T11:45:00
Chai Thali,"Camden, London",5.53,2020-11-08T12:00:00
Kintan Japanese BBQ,London,5.53,2020-11-08T12:00:00
Asakusa Restaurant,London,5.52,2020-11-08T17:00:00
Bagel Factory - Marylebone,London,5.5,2020-11-08T10:30:00
Sergio's,London,5.5,2020-11-08T12:00:00
Namaste Holborn,London,5.5,2020-11-08T11:30:00
Union Viet,London,5.5,2020-11-09T11:00:00
Sannin Restaurant,London,5.49,2020-11-08T10:30:00
Bombay Palace,London,5.48,2020-11-08T17:00:00
K10 Sushi Queens Street,London,5.47,2020-11-09T11:50:00
Hiba Street,London,5.47,2020-11-09T11:30:00
Carlo's Kitchen,London,5.45,2020-11-08T12:00:00
Which Wich Superior Sandwiches,London,5.44,2020-11-08T11:45:00
FlipSide,London,5.44,2020-11-09T10:30:00
Veggie Pret - Broadwick Street,London,5.44,2020-11-08T10:00:00
Palms Of Goa,London,5.44,2020-11-09T12:00:00
Kibele Restaurant,London,5.44,2020-11-08T12:00:00
Bombay Burrito,London,5.44,2020-11-08T12:00:00
People's Choice Cafe,London,5.42,2020-11-09T08:00:00
itsu - Baker 132,London,5.42,2020-11-08T12:00:00
Fateema,London,5.42,2020-11-08T11:00:00
Pan Asia,London,5.41,2020-11-08T11:00:00
Tops Pizza,London,5.4,2020-11-08T10:00:00
Hyotan,London,5.4,2020-11-08T12:00:00
Sagar Vegan & Vegetarian,London,5.39,2020-11-08T12:00:00
Sushi Moka,London,5.39,2020-11-09T11:30:00
Tas Restaurant - The Cut,London,5.38,2020-11-08T12:00:00
Laksamania,London,5.38,2020-11-09T12:00:00
Jango Kitchen,London,5.37,2020-11-09T11:00:00
Shawarma & More,London,5.36,2020-11-08T12:00:00
Beirut Cafe,London,5.36,2020-11-08T10:40:00
Falafel & Grill House,London,5.36,2020-11-09T12:00:00
Q's Chicken,London,5.36,2020-11-08T18:00:00
What The Pitta Camden,London,5.35,2020-11-08T11:30:00
Sapori,London,5.34,2020-11-09T07:00:00
